shellH,element,row,col,cellArea,activeArea,areaFraction,outerEdgeCrossings,holeEdgeCrossings,totalBoundaryCrossings,holeOverlapCount,holeThroughCell,complexBoundary,sliverRisk,smallRetainedRegion,bboxFillRatio,minVisibleTriangleArea,subCellDiv,triGaussN,visibleTriangles,candidateIntegrationPoints,acceptedIntegrationPoints,backend,policyReason,fallback,integrationPoints
806,93,9,3,0.01,9.50361e-05,0.00950361,1,0,1,0,0,0,0,1,0.5,0,5,7,0,400,5,subcell,forced-subcell,0,5
806,86,8,6,0.01,0.000380145,0.0380145,1,0,1,0,0,0,0,1,0.5,0,5,7,0,400,16,subcell,forced-subcell,0,16
806,24,2,4,0.01,0.000386611,0.0386611,1,0,1,0,0,0,0,1,0.5,0,5,7,0,400,16,subcell,forced-subcell,0,16
806,79,7,9,0.01,0.000855325,0.0855325,1,0,1,0,0,0,0,1,0.5,0,5,7,0,400,34,subcell,forced-subcell,0,34
806,58,5,8,0.01,0.00154645,0.154645,1,0,1,0,0,0,0,1,0.5,0,5,7,0,400,62,subcell,forced-subcell,0,62
806,92,9,2,0.01,0.0023041,0.23041,1,0,1,0,0,0,0,1,0.599515,0,5,7,0,400,90,subcell,forced-subcell,0,90
806,12,1,2,0.01,0.00273816,0.273816,1,0,1,0,0,0,0,0,0.5,0,5,7,0,400,110,subcell,forced-subcell,0,110
806,85,8,5,0.01,0.00306903,0.306903,1,0,1,0,0,0,0,0,0.665992,0,5,7,0,400,123,subcell,forced-subcell,0,123
806,78,7,8,0.01,0.00383395,0.383395,1,0,1,0,0,0,0,0,0.713542,0,5,7,0,400,154,subcell,forced-subcell,0,154
806,69,6,9,0.01,0.00414467,0.414467,2,0,2,0,0,0,0,0,0.537904,0,5,7,0,400,165,subcell,forced-subcell,0,165
806,46,4,6,0.01,0.00500933,0.500933,1,0,1,0,0,0,0,0,0.59141,0,5,7,0,400,200,subcell,forced-subcell,0,200
806,47,4,7,0.01,0.000173216,0.0173216,1,0,1,0,0,0,0,1,0.5,0,5,7,0,400,7,subcell,forced-subcell,0,7
806,91,9,1,0.01,0.00538246,0.538246,1,0,1,0,0,0,0,0,0.777628,0,5,7,0,400,217,subcell,forced-subcell,0,217
806,84,8,4,0.01,0.00614739,0.614739,1,0,1,0,0,0,0,0,0.799757,0,5,7,0,400,244,subcell,forced-subcell,0,244
806,77,7,7,0.01,0.00691231,0.691231,1,0,1,0,0,0,0,0,0.817881,0,5,7,0,400,276,subcell,forced-subcell,0,276
806,0,0,0,0.01,0.00653918,0.653918,2,0,2,0,0,0,0,0,0.653918,0,5,7,0,400,262,subcell,forced-subcell,0,262
806,1,0,1,0.01,0.000684541,0.0684541,1,0,1,0,0,0,0,1,0.5,0,5,7,0,400,28,subcell,forced-subcell,0,28
806,57,5,7,0.01,0.00791447,0.791447,1,0,1,0,0,0,0,0,0.791447,0,5,7,0,400,316,subcell,forced-subcell,0,316
806,90,9,0,0.01,0.00846082,0.846082,2,0,2,0,0,0,0,0,0.846082,0,5,7,0,400,338,subcell,forced-subcell,0,338
806,83,8,3,0.01,0.00913071,0.913071,1,0,1,0,0,0,0,0,0.913071,0,5,7,0,400,365,subcell,forced-subcell,0,365
806,68,6,8,0.01,0.0096196,0.96196,1,0,1,0,0,0,0,0,0.96196,0,5,7,0,400,384,subcell,forced-subcell,0,384
806,76,7,6,0.01,0.00961053,0.961053,1,0,1,0,0,0,0,0,0.961053,0,5,7,0,400,383,subcell,forced-subcell,0,383
806,60,6,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0,5,7,0,400,400,subcell,forced-subcell,0,400
806,70,7,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0,5,7,0,400,400,subcell,forced-subcell,0,400
806,45,4,5,0.01,0.00983093,0.983093,1,0,1,0,0,0,0,0,0.983093,0,5,7,0,400,393,subcell,forced-subcell,0,393
806,80,8,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0,5,7,0,400,400,subcell,forced-subcell,0,400
806,20,2,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0,5,7,0,400,400,subcell,forced-subcell,0,400
806,40,4,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0,5,7,0,400,400,subcell,forced-subcell,0,400
806,34,3,4,0.01,0.008466,0.8466,1,0,1,0,0,0,0,0,0.8466,0,5,7,0,400,338,subcell,forced-subcell,0,338
806,35,3,5,0.01,0.00210004,0.210004,1,0,1,0,0,0,0,1,0.5,0,5,7,0,400,84,subcell,forced-subcell,0,84
806,30,3,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0,5,7,0,400,400,subcell,forced-subcell,0,400
806,50,5,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0,5,7,0,400,400,subcell,forced-subcell,0,400
806,22,2,2,0.01,0.00995773,0.995773,1,0,1,0,0,0,0,0,0.995773,0,5,7,0,400,397,subcell,forced-subcell,0,397
806,23,2,3,0.01,0.00577425,0.577425,1,0,1,0,0,0,0,0,0.625253,0,5,7,0,400,231,subcell,forced-subcell,0,231
806,10,1,0,0.01,0.01,1,1,0,1,0,0,0,0,0,1,0,5,7,0,400,400,subcell,forced-subcell,0,400
806,11,1,1,0.01,0.008933,0.8933,1,0,1,0,0,0,0,0,0.8933,0,5,7,0,400,357,subcell,forced-subcell,0,357
